LAT_SCI_NAME	ENG_NAME	GER_NAME	KINGDOM	PHYLUM	CLASS	ORDER	FAMILY	GENUS
Ceratodon purpureus	ceratodon moss, fire moss, purple horn toothed moss	Purpurstielige Hornzahnmoos, Purpurmoos, Purpurstielzchen	Plantae	Bryophyta	Bryopsida	Dicranales	Ditrichaceae	Ceratodon
Lophocolea heterophylla	na	Verschiedenblättriges Kammkelchmoo	Plantae	Hepatophyta	Hepatopsida	Jungermanniales	Geocalycaceae	Lophocolea
Dicranum tauricum	na	na	Plantae	Bryophyta	Bryopsida	Dicranales	Dicranaceae	Dicranum
Herzogiella seligeri	Seligers herzogiella moss	na	Plantae	Bryophyta	Bryopsida	Hypnales	Hypnaceae	Herzogiella
Homalia trichomanoides	na	Streifenfarn-Flachmoos	Plantae	Bryophyta	Bryopsida	Leucodontales	Neckeraceae	Homalia
Homalothecium sericeum	silken homalothecium moss	Seidenmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Homalothecium
Isothecium alopecuroides	na	Großes Mausschwanzmoos, Großes Mäuseschwanzmoos, Mäuseschwanz-Gleichbüchsenmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Brachytheciaceae	Isothecium
Mnium hornum	na	na	Plantae	Bryophyta	Bryopsida	Bryales	Mniaceae	Mnium
Orthotrichum affine	wood bristle-moss	Schwanenhals-Sternmoos	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Orthotrichum
Plagiothecium laetum	na	Glänzendes Plattmoos, Üppiges Plattmoos, Krummblättriges Plattmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Plagiotheciaceae	Plagiothecium
Pseudoleskeella nervosa	nerved Leskea	Baum-Kettenmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Leskeaceae	Pseudoleskeella
Pterigynandrum filiforme	na	Fädiges Zwirnmoos, Faden-Zwirnmoos	Plantae	Bryophyta	Bryopsida	Hypnales	Pterigynandraceae	Pterigynandrum
Ulota crispa	crisped pincushion	Gewöhnlichse Krausblattmoos	Plantae	Bryophyta	Bryopsida	Orthotrichales	Orthotrichaceae	Ulota
Anthriscus sylvestris subsp. sylvestris	cow parsley, wild chervil, wild beaked parsley, keck, Queen Annes lace	Wiesen-Kerbel	Plantae	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Anthriscus
Anthyllis vulneraria var. vulneraria	na	na	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Anthyllis
Anthyllis vulneraria var. vulneraria	Common kidneyvetch, kidney vetch, woundwort	Echter Wundklee, Gemeiner Wundklee, Gewöhnlicher Wundklee, Tannenklee	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Anthyllis
Arenaria serpyllifolia subsp. serpyllifolia	na	Quendel-Sandkraut, Quendelblättriges Sandkraut, Thymianblättriges Sandkraut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Arenaria
Carex cespitosa	na	Rasen-Segge	Plantae	Tracheophyta	Liliopsida	Poales	Cyperaceae	Carex
Centaurea jacea subsp. jacea	brown knapweed, brownray knapweed	Gewöhnliche Wiesen-Flockenblume	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Centaurea
Cerastium arvense subsp. arvense	field mouse-ear, field chickweed	Acker-Hornkraut	Plantae	Tracheophyta	Magnoliopsida	Caryophyllales	Caryophyllaceae	Cerastium
Centaurium erythraea subsp. erythraea	common centaury, European centaury	Echtes Tausendgüldenkraut, Bitterkraut, Erdgallenkraut, Gottesgnadenkraut, Fieberkraut, Hundertguldenkraut, Laurin, Magenkraut, Roter Aurin, Sanktorikraut	Plantae	Tracheophyta	Magnoliopsida	Gentianales	Gentianaceae	Centaurium
Cichorium intybus subsp. intybus	na	na	Plantae	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Cichorium
